employer_name,corporate_cluster_id,priority,cohort,source_key,source_scope,canonical_careers_url,operational_url,ats_family,evidence_state,resolution_path,adapter_supported,catalog_state,last_verified_at,evidence_url,notes,scan_enabled
Booking.com,,58,CORE_EXTENSION,bookingcom_smartrecruiters,Global,https://careers.booking.com/,https://careers.smartrecruiters.com/Bookingcom1,SmartRecruiters,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://careers.smartrecruiters.com/Bookingcom1,Live SmartRecruiters organization 'Bookingcom1'; one Boards API parity check required,N
Sysdig,,59,CORE_EXTENSION,sysdig_lever,Global,https://sysdig.com/careers/,https://jobs.lever.co/sysdig,Lever,FIRST_PARTY_AND_PLATFORM_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://jobs.lever.co/sysdig,Live Lever board; existing Lever adapter sufficient; one Boards API parity check required,N
Trend Micro / TrendAI,,60,CORE_EXTENSION,trendmicro_workday,Global,https://www.trendmicro.com/en_us/careers.html,https://trendmicro.wd3.myworkdayjobs.com/External,Workday,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://trendmicro.wd3.myworkdayjobs.com/External,Live wd3 External site with current R00xxxx requisitions; one Boards API probe required,N
Tenable,CG-AA4B65F605,21,CORE_EXTENSION,tenable_boards_api,Global,https://www.tenable.com/careers,https://boards-api.greenhouse.io/v1/boards/tenableinc/jobs?content=true,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://boards-api.greenhouse.io/v1/boards/tenableinc/jobs?content=true,Direct Boards API token 'tenableinc' for controlled probe,N
Anthropic,,14,CORE_EXTENSION,anthropic_boards_api,Global,https://www.anthropic.com/careers/jobs,https://boards-api.greenhouse.io/v1/boards/anthropic/jobs?content=true,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://boards-api.greenhouse.io/v1/boards/anthropic/jobs?content=true,Direct Boards API token 'anthropic' for controlled probe,N
OpenAI,CG-7D3BBB5CBB,13,CORE_EXTENSION,openai_ashby_api,Global,https://openai.com/careers/search/,https://api.ashbyhq.com/posting-api/job-board/openai,Ashby,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://api.ashbyhq.com/posting-api/job-board/openai,Direct Ashby Posting API for controlled probe,N
Datadog,CG-8BAB8F900C,11,CORE_EXTENSION,datadog_boards_api,Global,https://careers.datadoghq.com/,https://boards-api.greenhouse.io/v1/boards/datadog/jobs?content=true,Greenhouse,TECHNICALLY_VERIFIED,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://boards-api.greenhouse.io/v1/boards/datadog/jobs?content=true,Direct Boards API token 'datadog' for controlled probe; one parity check required,N
Procore,,61,CORE_EXTENSION,procore_greenhouse,Global,https://www.procore.com/jobs/,https://job-boards.greenhouse.io/procore,Greenhouse,PROBABLE,FINGERPRINT_REQUIRED,YES,UNTESTED,2026-09-02,https://job-boards.greenhouse.io/procore,Procore current Greenhouse token not yet re-proven by direct API call; one cheap direct board/API check required before FAST_PATH,N
Cribl,,62,CORE_EXTENSION,cribl_custom,Global,https://cribl.io/careers/,https://cribl.io/careers/,Custom first-party careers,UNVERIFIED,HOLD,NO,UNTESTED,2026-09-02,https://cribl.io/careers/,Greenhouse root today redirects to first-party Cribl careers; open-role component currently renders 0/0; backend currently inconsistent; no source yet catalog-authoritative,N
Sekoia,,63,CORE_EXTENSION,sekoia_teamtailor,Global,https://careers.sekoia.com,https://careers.sekoia.com,Teamtailor,FIRST_PARTY_AND_PLATFORM_VERIFIED,ADAPTER_NEEDED,NO,UNTESTED,2026-09-02,https://careers.sekoia.com,First-party HTML explicitly exposes Teamtailor; reusable Teamtailor adapter candidate; no dedicated adapter currently; resolvable only after new adapter work,N
WithSecure,,64,CORE_EXTENSION,withsecure_custom,Global,https://www.withsecure.com/en/about-us/careers/open-positions,https://www.withsecure.com/en/about-us/careers/open-positions,Custom first-party,FIRST_PARTY_VERIFIED,RESOLVER_LIGHT,NO,UNTESTED,2026-09-02,https://www.withsecure.com/en/about-us/careers/open-positions,First-party filterable catalog; backend UNVERIFIED; inspect job-detail/apply links and network datasource before any ATS claim,N
Splunk,,65,CORE_EXTENSION,splunk_custom,Global,https://www.splunk.com/en_us/careers.html,https://www.splunk.com/en_us/careers.html,Custom first-party,FIRST_PARTY_VERIFIED,RESOLVER_LIGHT,NO,UNTESTED,2026-09-02,https://www.splunk.com/en_us/careers.html,Backend UNVERIFIED; Cisco ownership makes historical ATS assumptions especially unsafe; inspect search XHR/network before any ATS claim,N
ESET,,66,CORE_EXTENSION,eset_multi_source,Global,https://www.eset.com/int/careers/,https://www.eset.com/int/careers/,Multi-surface first-party,FIRST_PARTY_VERIFIED,RESOLVER_LIGHT,NO,UNTESTED,2026-09-02,https://www.eset.com/int/careers/,Multi-source candidate; HQ/global job links plus 2-3 regional apply flows; model regional sources if necessary,N
Palo Alto Networks,CG-710F91B65A,8,CORE_200,panw_phenom_boards,Global,https://jobs.paloaltonetworks.com/en/search_jobs,https://jobs.paloaltonetworks.com/en/search_jobs,Phenom family,PROBABLE,FINGERPRINT_REQUIRED,YES,UNTESTED,2026-09-02,https://jobs.paloaltonetworks.com/en/search_jobs,Phenom signatures plausible but Phenom adapter does not yet auto-select on this host; cheap page/network check required first,N
Booz Allen Hamilton,,51,CORE_EXTENSION,bah_workday_boards,Global,https://www.boozallen.com/careers/,https://bah.wd1.myworkdayjobs.com,Workday,FIRST_PARTY_VERIFIED_PLATFORM,READY_TO_PROBE,YES,PARITY_PENDING,2026-09-02,https://bah.wd1.myworkdayjobs.com,Duplicate Boards API entry for the same Workday host as a fallback (alternate path); canonical entry above; one Boards API probe required,N
